Market,Selection,Bid type,Bet ID,Bet placed,,Persistence,Odds req.,Stake (£),Liability (£),Avg. odds matched,Profit/Loss (£)
GB / Newmarket 14th Jul / 14:25 6f Grp 2,Star Of Mystery,Lay,313520709453,14-Jul-23 10:38,,C,1.2,50.00,10.00,1.2,50.00
GB / Newmarket 14th Jul / 14:25 6f Grp 2,Thanksbutnothanks,Back,313540623221,14-Jul-23 14:23,,C,110,1.00,,120,(1.00)
AU / Belmont (AUS) 5th Jul / 09:15 R8 1400m CL1,3. The Lucky Chip,Back,312613297056,05-Jul-23 09:16,,C,21,3.00,,42,(3.00)
GB / Ffos Las 4th Jul / 21:00 2m Hcap,Jersey Gift,Back,312586130266,04-Jul-23 20:59,,C,20,3.00,,20,(3.00)
GB / Ffos Las 4th Jul / 21:00 2m Hcap,Jersey Gift,Lay,312586431325,04-Jul-23 21:03,,C,15.5,3.87,56.12,15.5,3.87
GB / Ffos Las 4th Jul / 21:00 2m Hcap,Masterdream,Lay,312586527766,04-Jul-23 21:04,,C,1.82,3.00,2.46,1.82,(2.46)
GB / Ffos Las 4th Jul / 21:00 2m Hcap,Masterdream,Back,312586545542,04-Jul-23 21:04,,C,1.78,3.06,,1.97,2.97
GB / Ffos Las 4th Jul / 21:00 2m Hcap,Masterdream,Lay,312586556494,04-Jul-23 21:05,,C,2,0.28,0.25,1.89,(0.25)
Football / Coventry v Luton / Match Odds,Coventry,Back,308890301726,27-May-23 17:35,,C,14,5.00,,14,(5.00)
Football / Coventry v Luton / Match Odds,Coventry,Lay,308897796600,27-May-23 18:18,,C,5.1,13.72,54.88,5,13.72
Football / Coventry v Luton / Match Odds,Coventry,Lay,308898251197,27-May-23 18:21,,C,5.9,0.23,1.10,5.8,0.23
Football / Coventry v Luton / Match Odds,Coventry,Lay,308898300139,27-May-23 18:21,,C,5.9,0.01,0.05,5.8,0.01
